ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
5-0202-03;Perlengkapan Latihan; 18.000.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000 ; 1.500.000
5-0202-04;Laundry; 2.400.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000
Operasional Latihan;;;;;;;;;;;;;;
5-0203-01;Sewa Lapangan; 120.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000 ; 10.000.000
5-0203-02;Turnamen/Kompetisi; 30.000.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000
5-0203-03;Pertandingan Uji Coba; 30.000.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000
5-0203-04;Medis; 6.000.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000
Operasional Lainnya;;;;;;;;;;;;;;
5-0204-01;Hotline; 1.200.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000 ; 100.000
5-0204-02;Transportasi; 60.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000
5-0204-03;Lain-lain; 6.000.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000 ; 500.000
TOTAL BIAYA;; 536.835.000 ; 55.300.000 ; 33.300.000 ; 33.300.000 ; 43.300.000 ; 33.300.000 ; 33.300.000 ; 33.300.000 ; 33.300.000 ; 33.300.000 ; 33.300.000 ; 33.300.000 ; 138.235.000
;;;;;;;;;;;;;;
5-10. INVENTARIS;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
5-1001-01;Inventaris Kantor; 36.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000 ; 3.000.000
5-1001-03;Perawatan Inventaris; 12.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000 ; 1.000.000
